1 0 4 3 2 7 10 13 16 19 22
27 26 28 31 29 32 35 38 41 44 47
52 51 53 56 54 57 61 66 72 76 82
62 58 63 69 67 73 79 85 91 94 97
102 101 103 106 104 107 111 116 122 126 132
112 108 113 119 117 123 129 135 141 144 147
152 151 153 156 154 157 161 166 172 176 182
162 158 163 169 167 173 179 185 191 194 197
202 201 203 206 204 207 211 216 222 226 232
212 208 213 219 217 223 229 235 241 244 247
252 251 253 256 254 257 261 266 272 276 282
262 258 263 269 267 273 279 285 291 294 297
302 301 303 306 304 307 311 316 322 326 332
312 308 313 319 317 323 329 335 341 344 347
352 351 353 356 354 357 361 366 372 377 383
362 358 363 369 367 373 380 386 392 395 398
